Gene stable ID version,Transcript stable ID version,Strand,Exon region start (bp),Exon region end (bp),Chromosome/scaffold name
ENSG00000233676.2,ENST00000425091.1,+,20388334,20388845,21
ENSG00000235965.2,ENST00000450653.2,-,19047611,19047684,21
ENSG00000235965.2,ENST00000450653.2,-,19046310,19047025,21
ENSG00000227075.1,ENST00000452500.1,-,21975560,21975681,21
ENSG00000227075.1,ENST00000452500.1,-,21973120,21973242,21
ENSG00000227075.1,ENST00000452500.1,-,21933315,21933599,21
ENSG00000225735.1,ENST00000433383.1,-,17210469,17211347,21
ENSG00000232193.1,ENST00000440372.1,-,18935360,18935859,21
ENSG00000232193.1,ENST00000440372.1,-,18917934,18918217,21
ENSG00000226771.1,ENST00000425058.1,-,21226648,21226829,21
ENSG00000226771.1,ENST00000425058.1,-,21223295,21223747,21
ENSG00000198618.5,ENST00000358455.4,+,18857779,18858276,21
ENSG00000226818.1,ENST00000413933.1,+,19244543,19246392,21
ENSG00000279177.1,ENST00000624906.1,-,7626344,7627528,21
ENSG00000234340.1,ENST00000433524.1,-,22134698,22136083,21
ENSG00000231755.1,ENST00000447175.1,-,17885462,17885608,21
ENSG00000231755.1,ENST00000447175.1,-,17840495,17840653,21
ENSG00000231755.1,ENST00000447175.1,-,17835016,17835826,21
ENSG00000237569.1,ENST00000425085.1,-,23408483,23409128,21
ENSG00000237569.1,ENST00000425085.1,-,23407658,23408363,21
ENSG00000286155.1,ENST00000651830.1,+,8235354,8235832,21
ENSG00000275592.1,ENST00000619242.1,+,10357400,10357636,21
ENSG00000275592.1,ENST00000619242.1,+,10357955,10358620,21
ENSG00000219368.3,ENST00000406845.1,-,23090028,23091831,21
ENSG00000225906.1,ENST00000438328.1,+,22882582,22882888,21
ENSG00000225906.1,ENST00000438328.1,+,22883203,22883417,21
ENSG00000225906.1,ENST00000438328.1,+,22883894,22884000,21
ENSG00000228184.1,ENST00000444901.1,+,13525599,13528579,21
ENSG00000244278.1,ENST00000424017.1,+,25055535,25055584,21
ENSG00000244278.1,ENST00000424017.1,+,25061626,25061711,21
ENSG00000244278.1,ENST00000424017.1,+,25068727,25068878,21
ENSG00000244278.1,ENST00000424017.1,+,25069716,25069906,21
ENSG00000287801.1,ENST00000668921.1,-,24114216,24114352,21
ENSG00000287801.1,ENST00000668921.1,-,23984852,23985006,21
ENSG00000287801.1,ENST00000668921.1,-,23982645,23983794,21
ENSG00000273872.1,ENST00000614260.1,-,10613213,10613379,21
ENSG00000273872.1,ENST00000614260.1,-,10612455,10612576,21
ENSG00000215326.3,ENST00000429271.1,-,27143344,27143949,21
ENSG00000223870.1,ENST00000426609.1,+,25127469,25127517,21
ENSG00000223870.1,ENST00000426609.1,+,25133644,25133751,21
ENSG00000223870.1,ENST00000426609.1,+,25134958,25135051,21
ENSG00000223870.1,ENST00000426609.1,+,25135208,25135247,21
ENSG00000279895.1,ENST00000624042.1,-,7425810,7425839,21
ENSG00000279895.1,ENST00000624042.1,-,7425094,7425192,21
ENSG00000279895.1,ENST00000624042.1,-,7424948,7425007,21
ENSG00000279895.1,ENST00000624042.1,-,7423942,7424052,21
ENSG00000279895.1,ENST00000624042.1,-,7423719,7423823,21
ENSG00000279895.1,ENST00000624042.1,-,7422933,7423037,21
ENSG00000279895.1,ENST00000624042.1,-,7422603,7422701,21
ENSG00000279895.1,ENST00000624042.1,-,7421961,7422107,21
ENSG00000279895.1,ENST00000624042.1,-,7421771,7421887,21
ENSG00000279895.1,ENST00000624042.1,-,7421442,7421597,21
ENSG00000277282.1,ENST00000622028.1,-,10649790,10649835,21
ENSG00000277282.1,ENST00000622028.1,-,10649400,10649706,21
ENSG00000215005.2,ENST00000447985.1,-,28888641,28889272,21
ENSG00000215005.2,ENST00000447985.1,-,28887280,28888333,21
ENSG00000231058.1,ENST00000445341.1,+,23101223,23101446,21
ENSG00000231058.1,ENST00000445341.1,+,23101585,23101838,21
ENSG00000231058.1,ENST00000445341.1,+,23102185,23103074,21
ENSG00000279186.1,ENST00000624506.1,-,5703182,5705637,21
ENSG00000215353.2,ENST00000400117.2,-,19759359,19760128,21
ENSG00000237444.1,ENST00000423389.1,-,25031005,25031529,21
ENSG00000217026.3,ENST00000447844.1,-,27420380,27421023,21
ENSG00000238265.1,ENST00000419069.1,-,21737252,21737319,21
ENSG00000238265.1,ENST00000419069.1,-,21727032,21727093,21
ENSG00000238265.1,ENST00000419069.1,-,21723293,21723774,21
ENSG00000229306.1,ENST00000457565.1,-,13016621,13016692,21
ENSG00000229306.1,ENST00000457565.1,-,12999676,12999926,21
ENSG00000278181.1,ENST00000620221.1,+,17296219,17296596,21
ENSG00000226204.1,ENST00000449840.1,-,18966948,18967058,21
ENSG00000226204.1,ENST00000449840.1,-,18953264,18953576,21
ENSG00000229289.1,ENST00000424219.1,+,19130523,19130691,21
ENSG00000229289.1,ENST00000424219.1,+,19134124,19134423,21
ENSG00000286222.1,ENST00000652402.1,-,23119713,23119903,21
ENSG00000286222.1,ENST00000652402.1,-,23118164,23118365,21
ENSG00000286222.1,ENST00000652402.1,-,23106928,23107918,21
ENSG00000279156.1,ENST00000623771.1,+,18917213,18917429,21
ENSG00000278106.1,ENST00000612331.1,+,10397644,10397778,21
ENSG00000228708.1,ENST00000455391.1,-,18486492,18486599,21
ENSG00000228708.1,ENST00000455391.1,-,18477358,18477710,21
ENSG00000231136.1,ENST00000454567.1,-,22153950,22154299,21
ENSG00000230233.1,ENST00000416002.1,+,18614431,18614565,21
ENSG00000230233.1,ENST00000416002.1,+,18640689,18640839,21
ENSG00000230233.1,ENST00000416002.1,+,18649768,18650360,21
ENSG00000234439.1,ENST00000447938.1,-,20424949,20426206,21
ENSG00000286012.1,ENST00000651349.1,+,8240736,8241047,21
ENSG00000231620.1,ENST00000433210.1,+,19301613,19301877,21
ENSG00000231620.1,ENST00000433210.1,+,19303369,19303739,21
ENSG00000286032.1,ENST00000651130.1,+,8465254,8465586,21
ENSG00000232263.1,ENST00000416044.1,-,30289145,30289514,21
ENSG00000286091.1,ENST00000651001.1,+,8466466,8466699,21
ENSG00000279990.1,ENST00000625020.1,+,8603547,8603984,21
ENSG00000234730.1,ENST00000428205.1,+,21566763,21566963,21
ENSG00000234730.1,ENST00000428205.1,+,21615030,21615437,21
ENSG00000223822.2,ENST00000447052.1,+,23390258,23390996,21
ENSG00000230972.1,ENST00000421604.1,+,23065491,23065669,21
ENSG00000230972.1,ENST00000421604.1,+,23067919,23068036,21
ENSG00000230972.1,ENST00000421604.1,+,23108820,23109002,21
ENSG00000230972.1,ENST00000421604.1,+,23128641,23128738,21
ENSG00000230972.1,ENST00000421604.1,+,23131023,23131206,21
ENSG00000231986.1,ENST00000441465.1,-,23890407,23890541,21
ENSG00000231986.1,ENST00000441465.1,-,23889510,23889726,21
ENSG00000231986.1,ENST00000441465.1,-,23888798,23889125,21
ENSG00000225267.1,ENST00000430538.1,-,30263380,30263881,21
ENSG00000156282.5,ENST00000286808.5,-,30165565,30166805,21
ENSG00000232260.2,ENST00000413813.1,-,17518526,17518993,21
ENSG00000223563.1,ENST00000426771.1,+,26889376,26889444,21
ENSG00000223563.1,ENST00000426771.1,+,26909866,26910030,21
ENSG00000223563.1,ENST00000426771.1,+,26939616,26939742,21
ENSG00000215369.3,ENST00000456825.1,-,17894193,17894485,21
ENSG00000215317.2,ENST00000400014.2,-,28903083,28903697,21
ENSG00000215317.2,ENST00000400014.2,-,28902372,28902522,21
ENSG00000215317.2,ENST00000400014.2,-,28901779,28902053,21
ENSG00000259981.1,ENST00000565564.1,+,30089717,30089991,21
ENSG00000259981.1,ENST00000565564.1,+,30097668,30097836,21
ENSG00000215351.3,ENST00000448832.1,-,20828127,20828622,21
ENSG00000235514.1,ENST00000436405.1,-,25762938,25763333,21
ENSG00000188694.6,ENST00000340345.6,-,30281309,30282950,21
ENSG00000281181.1,ENST00000627981.1,-,8437629,8438551,21
ENSG00000219592.2,ENST00000406229.2,+,27492118,27492261,21
ENSG00000279167.1,ENST00000625098.1,+,8701461,8701562,21
ENSG00000233206.1,ENST00000413190.1,-,20430443,20430762,21
ENSG00000233300.1,ENST00000420241.1,-,27367014,27367947,21
ENSG00000227342.1,ENST00000451410.1,-,30211734,30211783,21
ENSG00000227342.1,ENST00000451410.1,-,30209738,30209925,21
ENSG00000227342.1,ENST00000451410.1,-,30209151,30209336,21
ENSG00000237527.1,ENST00000416182.1,-,21686249,21686329,21
ENSG00000237527.1,ENST00000416182.1,-,21659020,21659109,21
ENSG00000237527.1,ENST00000416182.1,-,21658041,21658198,21
ENSG00000237527.1,ENST00000416182.1,-,21656939,21657019,21
ENSG00000237527.1,ENST00000416182.1,-,21655038,21655107,21
ENSG00000281383.1,ENST00000629969.1,-,8254592,8255514,21
ENSG00000218549.2,ENST00000406538.2,-,13581060,13582004,21
ENSG00000235564.2,ENST00000447405.2,-,23968509,23968747,21
ENSG00000235564.2,ENST00000447405.2,-,23967180,23967293,21
ENSG00000235564.2,ENST00000447405.2,-,23960569,23961588,21
ENSG00000227721.1,ENST00000451820.1,+,38894917,38895252,21
ENSG00000234107.1,ENST00000458495.1,+,31840341,31840858,21
ENSG00000227330.1,ENST00000432412.1,-,18114767,18114904,21
ENSG00000227330.1,ENST00000432412.1,-,18099933,18100018,21
ENSG00000227330.1,ENST00000432412.1,-,18034520,18034629,21
ENSG00000227330.1,ENST00000432412.1,-,18024680,18024750,21
ENSG00000227330.1,ENST00000432412.1,-,18022370,18022442,21
ENSG00000156284.6,ENST00000399899.2,-,30214006,30216097,21
ENSG00000287109.1,ENST00000659278.1,-,25652102,25654671,21
ENSG00000287109.1,ENST00000659278.1,-,25646113,25647132,21
ENSG00000227090.1,ENST00000446404.1,-,24902678,24902756,21
ENSG00000227090.1,ENST00000446404.1,-,24886676,24887136,21
ENSG00000237609.1,ENST00000440714.1,-,39029001,39029128,21
ENSG00000237609.1,ENST00000440714.1,-,39028536,39028699,21
ENSG00000279534.1,ENST00000624405.1,+,25371827,25372043,21
ENSG00000279648.1,ENST00000624164.1,+,17705408,17707455,21
ENSG00000237138.1,ENST00000437109.1,-,32021480,32021782,21
ENSG00000237138.1,ENST00000437109.1,-,32020966,32021278,21
ENSG00000279967.1,ENST00000624806.1,-,8101251,8103706,21
ENSG00000275945.1,ENST00000613970.1,+,10330732,10331537,21
ENSG00000271486.1,ENST00000603349.1,+,19620695,19621545,21
ENSG00000279784.1,ENST00000623587.1,+,5705345,5705453,21
ENSG00000279784.1,ENST00000623587.1,+,5706963,5707160,21
ENSG00000286149.1,ENST00000652220.1,+,8462320,8462798,21
ENSG00000286267.1,ENST00000650962.1,+,8417757,8418235,21
ENSG00000286178.1,ENST00000652229.1,+,8423760,8424071,21
ENSG00000286252.1,ENST00000651797.1,+,8237649,8237979,21
ENSG00000232886.1,ENST00000430064.1,-,16873643,16873691,21
ENSG00000232886.1,ENST00000430064.1,-,16866582,16866676,21
ENSG00000232886.1,ENST00000430064.1,-,16865702,16865832,21
ENSG00000232886.1,ENST00000430064.1,-,16862875,16862976,21
ENSG00000232837.1,ENST00000433952.1,-,38977711,38977774,21
ENSG00000232837.1,ENST00000433952.1,-,38977453,38977567,21
ENSG00000232837.1,ENST00000433952.1,-,38974429,38975847,21
ENSG00000227054.1,ENST00000450769.1,+,25692180,25692554,21
ENSG00000228235.1,ENST00000429512.1,+,46052596,46052703,21
ENSG00000228235.1,ENST00000429512.1,+,46052799,46053105,21
ENSG00000276556.1,ENST00000611755.1,-,10640028,10640338,21
ENSG00000224413.1,ENST00000451618.1,+,46037052,46037898,21
ENSG00000224413.1,ENST00000451618.1,+,46038457,46039807,21
ENSG00000278884.1,ENST00000625184.1,+,7020599,7020649,21
ENSG00000278884.1,ENST00000625184.1,+,7024625,7025166,21
ENSG00000229986.1,ENST00000416842.1,+,38846247,38846317,21
ENSG00000229986.1,ENST00000416842.1,+,38848229,38848644,21
ENSG00000286054.1,ENST00000652151.1,+,8421883,8422116,21
ENSG00000233767.1,ENST00000428242.1,-,46072085,46072248,21
ENSG00000288266.1,ENST00000671754.1,-,39023000,39023835,21
ENSG00000276738.1,ENST00000615444.1,+,20597953,20598163,21
ENSG00000223488.2,ENST00000379571.3,-,22436290,22438349,21
ENSG00000168122.4,ENST00000427301.1,-,13113665,13113790,21
ENSG00000168122.4,ENST00000427301.1,-,13113081,13113148,21
ENSG00000168122.4,ENST00000427301.1,-,13095305,13098326,21
ENSG00000237202.1,ENST00000424255.1,+,13120244,13120807,21
ENSG00000280108.2,ENST00000624445.2,+,13305152,13305221,21
ENSG00000280108.2,ENST00000624445.2,+,13314408,13314944,21
ENSG00000280800.1,ENST00000631211.1,-,8210384,8211306,21
ENSG00000234034.1,ENST00000441759.1,-,22519868,22520058,21
ENSG00000234034.1,ENST00000441759.1,-,22518744,22518822,21
ENSG00000234034.1,ENST00000441759.1,-,22500604,22501310,21
ENSG00000175302.5,ENST00000451052.1,-,13427745,13427773,21
ENSG00000175302.5,ENST00000451052.1,-,13427580,13427652,21
ENSG00000175302.5,ENST00000451052.1,-,13426312,13426340,21
ENSG00000175302.5,ENST00000451052.1,-,13426146,13426218,21
ENSG00000175302.5,ENST00000451052.1,-,13423127,13423188,21
ENSG00000175302.5,ENST00000451052.1,-,13421600,13421690,21
ENSG00000175302.5,ENST00000451052.1,-,13413762,13413790,21
ENSG00000175302.5,ENST00000451052.1,-,13413596,13413668,21
ENSG00000175302.5,ENST00000451052.1,-,13408320,13408350,21
ENSG00000175302.5,ENST00000451052.1,-,13405181,13405253,21
ENSG00000175302.5,ENST00000451052.1,-,13399357,13399435,21
ENSG00000175302.5,ENST00000451052.1,-,13398970,13399031,21
ENSG00000175302.5,ENST00000451052.1,-,13395968,13396057,21
ENSG00000175302.5,ENST00000451052.1,-,13393717,13393745,21
ENSG00000175302.5,ENST00000451052.1,-,13393546,13393618,21
ENSG00000175302.5,ENST00000451052.1,-,13387723,13387936,21
ENSG00000175302.5,ENST00000451052.1,-,13386282,13386445,21
ENSG00000175302.5,ENST00000451052.1,-,13384249,13385160,21
ENSG00000219280.1,ENST00000407739.1,+,13476371,13477263,21
ENSG00000226930.1,ENST00000424290.1,-,13489078,13489176,21
ENSG00000226930.1,ENST00000424290.1,-,13457790,13457932,21
ENSG00000226930.1,ENST00000424290.1,-,13452191,13452324,21
ENSG00000226930.1,ENST00000424290.1,-,13451557,13451742,21
ENSG00000226930.1,ENST00000424290.1,-,13451310,13451385,21
ENSG00000226930.1,ENST00000424290.1,-,13443373,13443431,21
ENSG00000249209.2,ENST00000429238.2,-,33931471,33931607,21
ENSG00000249209.2,ENST00000429238.2,-,33915728,33915977,21
ENSG00000249209.2,ENST00000429238.2,-,33914450,33914500,21
ENSG00000249209.2,ENST00000429238.2,-,33912289,33912399,21
ENSG00000249209.2,ENST00000429238.2,-,33909082,33909211,21
ENSG00000249209.2,ENST00000429238.2,-,33907341,33907453,21
ENSG00000249209.2,ENST00000429238.2,-,33585978,33586181,21
ENSG00000249209.2,ENST00000429238.2,-,33584687,33584768,21
ENSG00000279783.1,ENST00000624130.1,+,9810501,9810848,21
ENSG00000279615.1,ENST00000624852.1,-,8680538,8680934,21
ENSG00000231480.1,ENST00000442212.1,+,38502445,38502621,21
ENSG00000277777.1,ENST00000610788.1,+,5597390,5597490,21
ENSG00000277739.1,ENST00000610460.1,+,8256781,8256933,21
ENSG00000277671.1,ENST00000618423.1,+,8250060,8250149,21
ENSG00000274060.1,ENST00000616483.1,+,8249505,8249596,21
ENSG00000274484.1,ENST00000613803.1,+,7474394,7474494,21
ENSG00000277379.1,ENST00000622482.1,+,8388362,8388453,21
ENSG00000274868.1,ENST00000612139.1,+,8388898,8388987,21
ENSG00000275215.1,ENST00000613359.1,+,8395607,8395759,21
ENSG00000275692.1,ENST00000617390.1,+,8432530,8432621,21
ENSG00000278775.1,ENST00000619112.1,+,8433085,8433174,21
ENSG00000278189.1,ENST00000619471.1,+,8439823,8439975,21
ENSG00000276546.1,ENST00000619005.1,-,7663911,7664011,21
ENSG00000275950.1,ENST00000616420.1,+,8205315,8205406,21
ENSG00000275664.1,ENST00000610482.1,+,8205851,8205940,21
ENSG00000275708.1,ENST00000615959.1,+,8208473,8208652,21
ENSG00000277437.1,ENST00000614492.1,+,8208844,8208904,21
ENSG00000278233.1,ENST00000612463.1,+,8212572,8212724,21
ENSG00000252199.1,ENST00000516390.1,+,9907916,9908010,21
ENSG00000266299.1,ENST00000581787.1,-,13644775,13644850,21
ENSG00000274046.1,ENST00000617336.1,+,7092616,7092716,21
ENSG00000207476.1,ENST00000384745.1,+,13621577,13621683,21
ENSG00000264002.2,ENST00000584271.2,-,9902344,9902627,21
ENSG00000252462.1,ENST00000516653.1,+,17431547,17431647,21
ENSG00000200754.1,ENST00000363884.1,-,17527140,17527247,21
ENSG00000199962.1,ENST00000363092.1,+,17576798,17576906,21
ENSG00000252963.1,ENST00000517154.1,+,20356653,20356896,21
ENSG00000251851.1,ENST00000516042.1,-,20355748,20355852,21
ENSG00000223078.1,ENST00000411146.1,-,23281736,23281909,21
ENSG00000212609.1,ENST00000391307.1,+,19345148,19345312,21
ENSG00000202339.1,ENST00000365469.1,+,22205192,22205332,21
ENSG00000266211.1,ENST00000580304.1,-,13406384,13406460,21
ENSG00000199698.1,ENST00000362828.1,-,23432181,23432282,21
ENSG00000274662.1,ENST00000410635.1,+,25101132,25101415,21
ENSG00000266195.2,ENST00000583100.2,+,17506453,17506728,21
ENSG00000275469.1,ENST00000619419.1,+,23079284,23079392,21
ENSG00000238627.1,ENST00000410986.2,+,25202207,25202315,21
ENSG00000266133.1,ENST00000584048.1,+,26953961,26954043,21
ENSG00000265841.1,ENST00000580069.1,-,18686090,18686164,21
ENSG00000207097.1,ENST00000384369.1,+,13047583,13047689,21
ENSG00000283300.1,ENST00000637157.1,+,28743208,28743291,21
ENSG00000272015.1,ENST00000606322.1,+,38894785,38894867,21
ENSG00000200792.1,ENST00000363922.1,-,32377187,32377322,21
ENSG00000236545.1,ENST00000458654.1,+,41870633,41870899,21
ENSG00000236545.1,ENST00000458654.1,+,41871735,41872054,21
ENSG00000251778.1,ENST00000515969.1,+,41882205,41882300,21
ENSG00000184385.2,ENST00000329015.2,-,42108296,42108534,21
ENSG00000184385.2,ENST00000329015.2,-,42102134,42104035,21
ENSG00000234703.1,ENST00000455028.1,+,35136638,35136849,21
ENSG00000234703.1,ENST00000455028.1,+,35138737,35139222,21
ENSG00000223671.2,ENST00000421454.2,-,35472095,35472432,21
ENSG00000231300.1,ENST00000431167.1,-,35599732,35600022,21
ENSG00000211590.1,ENST00000390235.1,+,35720715,35720808,21
ENSG00000229761.1,ENST00000434853.1,-,35724747,35725100,21
ENSG00000234008.5,ENST00000440405.2,+,35887195,35887807,21
ENSG00000214914.3,ENST00000453844.1,-,36016079,36016546,21
ENSG00000189089.5,ENST00000408914.2,+,36050214,36051377,21
ENSG00000200213.1,ENST00000363343.1,+,36066545,36066652,21
ENSG00000236119.1,ENST00000445464.1,+,36082859,36082899,21
ENSG00000236119.1,ENST00000445464.1,+,36090108,36090414,21
ENSG00000214889.3,ENST00000419943.1,+,36132450,36133032,21
ENSG00000228149.1,ENST00000437106.1,-,36168970,36170180,21
ENSG00000229007.1,ENST00000448649.1,+,32496812,32497311,21
ENSG00000252045.1,ENST00000516236.1,+,32538299,32538434,21
ENSG00000252950.1,ENST00000517141.1,+,32563075,32563210,21
ENSG00000228433.2,ENST00000435600.2,+,32621084,32622083,21
ENSG00000238220.1,ENST00000411943.1,-,32624785,32625096,21
ENSG00000238220.1,ENST00000411943.1,-,32624416,32624493,21
ENSG00000286517.1,ENST00000478313.1,-,36542565,36542855,21
ENSG00000286517.1,ENST00000478313.1,-,36526280,36526527,21
ENSG00000286852.1,ENST00000660763.1,+,36580172,36580293,21
ENSG00000286852.1,ENST00000660763.1,+,36580535,36581229,21
ENSG00000237646.1,ENST00000434195.1,-,36806036,36806284,21
ENSG00000237646.1,ENST00000434195.1,-,36803984,36804265,21
ENSG00000199806.1,ENST00000362936.1,+,36851911,36852028,21
ENSG00000270652.1,ENST00000604662.1,+,36943267,36943516,21
ENSG00000270652.1,ENST00000604662.1,+,36943837,36944125,21
ENSG00000207416.1,ENST00000384685.1,-,36986739,36986851,21
ENSG00000215734.3,ENST00000400819.2,+,36994643,36995075,21
ENSG00000212136.1,ENST00000390834.1,+,37045530,37045636,21
ENSG00000234030.1,ENST00000452969.1,+,43783123,43783573,21
ENSG00000226543.3,ENST00000449877.1,-,43855890,43856342,21
ENSG00000199598.1,ENST00000362728.1,-,43919795,43919901,21
ENSG00000252606.1,ENST00000516797.1,-,43996322,43996420,21
ENSG00000213440.2,ENST00000416034.1,-,44046807,44047041,21
ENSG00000213440.2,ENST00000416034.1,-,44046347,44046506,21
ENSG00000287637.1,ENST00000663813.1,-,37366672,37366858,21
ENSG00000287637.1,ENST00000663813.1,-,37337382,37339454,21
ENSG00000273210.1,ENST00000608783.1,-,37365477,37365932,21
ENSG00000264580.1,ENST00000579137.1,-,42950928,42951014,21
ENSG00000232777.1,ENST00000450190.1,-,43115334,43115709,21
ENSG00000228120.2,ENST00000433840.1,-,43162092,43162277,21
ENSG00000228120.2,ENST00000433840.1,-,43161089,43161252,21
ENSG00000228120.2,ENST00000433840.1,-,43159066,43159767,21
ENSG00000228930.1,ENST00000429327.1,-,45376191,45376382,21
ENSG00000224574.1,ENST00000446475.1,-,45409948,45410065,21
ENSG00000224574.1,ENST00000446475.1,-,45408457,45408563,21
ENSG00000224574.1,ENST00000446475.1,-,45408008,45408099,21
ENSG00000224574.1,ENST00000446475.1,-,45407386,45407620,21
ENSG00000275167.1,ENST00000611994.1,+,45478266,45478326,21
ENSG00000228318.3,ENST00000411427.3,-,41445490,41445708,21
ENSG00000228318.3,ENST00000411427.3,-,41442665,41442746,21
ENSG00000228318.3,ENST00000411427.3,-,41441056,41441870,21
ENSG00000207503.1,ENST00000384772.1,+,41539206,41539326,21
ENSG00000232806.1,ENST00000415820.1,-,41562907,41562958,21
ENSG00000232806.1,ENST00000415820.1,-,41560332,41560452,21
ENSG00000232806.1,ENST00000415820.1,-,41559125,41559373,21
ENSG00000261610.1,ENST00000565959.1,-,32259804,32261585,21
ENSG00000225218.1,ENST00000431150.1,-,42836448,42836477,21
ENSG00000225218.1,ENST00000431150.1,-,42834945,42835033,21
ENSG00000225218.1,ENST00000431150.1,-,42831040,42831205,21
ENSG00000223287.1,ENST00000411355.1,-,13968489,13968595,21
ENSG00000183249.8,ENST00000457709.1,+,14000927,14001100,21
ENSG00000183249.8,ENST00000457709.1,+,14001542,14001662,21
ENSG00000183249.8,ENST00000457709.1,+,14001910,14001984,21
ENSG00000183249.8,ENST00000457709.1,+,14005200,14005279,21
ENSG00000233442.2,ENST00000450880.1,+,14007134,14007198,21
ENSG00000233442.2,ENST00000450880.1,+,14008187,14008302,21
ENSG00000233442.2,ENST00000450880.1,+,14009589,14009673,21
ENSG00000233442.2,ENST00000450880.1,+,14010243,14010317,21
ENSG00000233442.2,ENST00000450880.1,+,14010777,14010874,21
ENSG00000233442.2,ENST00000450880.1,+,14011362,14011419,21
ENSG00000233442.2,ENST00000450880.1,+,14011696,14011810,21
ENSG00000233442.2,ENST00000450880.1,+,14012120,14012282,21
ENSG00000233442.2,ENST00000450880.1,+,14013503,14013657,21
ENSG00000233442.2,ENST00000450880.1,+,14013761,14013848,21
ENSG00000233442.2,ENST00000450880.1,+,14014624,14014880,21
ENSG00000275170.1,ENST00000613317.1,-,14020545,14020725,21
ENSG00000275170.1,ENST00000613317.1,-,14020171,14020248,21
ENSG00000275170.1,ENST00000613317.1,-,14019860,14019938,21
ENSG00000275170.1,ENST00000613317.1,-,14019060,14019577,21
ENSG00000201812.1,ENST00000364942.1,+,14070871,14070986,21
ENSG00000277572.1,ENST00000613590.1,-,14075950,14076038,21
ENSG00000235701.1,ENST00000437262.1,-,39171130,39172106,21
ENSG00000276873.1,ENST00000616808.1,-,39171462,39171560,21
ENSG00000232608.1,ENST00000419324.1,+,39216624,39216783,21
ENSG00000232608.1,ENST00000419324.1,+,39217401,39217506,21
ENSG00000237373.1,ENST00000435608.1,-,39219402,39219805,21
ENSG00000237373.1,ENST00000435608.1,-,39217093,39217177,21
ENSG00000229623.1,ENST00000438852.1,-,39235386,39236020,21
ENSG00000252915.1,ENST00000517106.1,+,39344537,39344628,21
ENSG00000227406.1,ENST00000444889.1,-,39376598,39377066,21
ENSG00000227406.1,ENST00000444889.1,-,39375834,39376085,21
ENSG00000227406.1,ENST00000444889.1,-,39375280,39375530,21
ENSG00000227406.1,ENST00000444889.1,-,39374743,39374898,21
ENSG00000227406.1,ENST00000444889.1,-,39373763,39374418,21
ENSG00000275523.1,ENST00000611656.1,+,39447010,39447069,21
ENSG00000235808.1,ENST00000450079.1,+,39488327,39488760,21
ENSG00000228349.1,ENST00000431743.1,-,39491544,39491898,21
ENSG00000235012.1,ENST00000411867.1,+,39525583,39526065,21
ENSG00000235012.1,ENST00000411867.1,+,39526359,39529855,21
ENSG00000225330.1,ENST00000416555.1,+,39630271,39630490,21
ENSG00000225330.1,ENST00000416555.1,+,39722476,39722551,21
ENSG00000225330.1,ENST00000416555.1,+,39725838,39726085,21
ENSG00000263973.1,ENST00000585040.1,-,40212352,40212431,21
ENSG00000207147.1,ENST00000384418.1,+,40513144,40513279,21
ENSG00000288069.1,ENST00000670068.1,+,40736318,40736383,21
ENSG00000288069.1,ENST00000670068.1,+,40753718,40754888,21
ENSG00000230859.1,ENST00000456507.1,+,40863994,40864473,21
ENSG00000286425.1,ENST00000665522.1,-,41036960,41037362,21
ENSG00000286425.1,ENST00000665522.1,-,41007244,41009352,21
